date,State,District,temperature,humidity,rainfall
13-07-2025,Bihar,Jehanabad,30.32,67.38,82.09
13-07-2025,Bihar,Katihar,29.31,75.95,66.25
13-07-2025,Bihar,Khagaria,28.84,78.38,134.51
13-07-2025,Bihar,Kishanganj,27.6,82.03,208.08
13-07-2025,Bihar,Lakhisarai,29.87,73.42,144.17
13-07-2025,Bihar,Madhepura,28.83,76.38,61.42
13-07-2025,Bihar,Madhubani,30.06,67.6,33.49
13-07-2025,Bihar,Munger,29.12,77.62,111.95
13-07-2025,Bihar,Muzaffarpur,30.53,66.62,24.93
13-07-2025,Bihar,Nalanda,30.39,68.55,71.99
13-07-2025,Bihar,Nawada,29.94,71.03,125.5
13-07-2025,Bihar,Pashchim Champaran,28.17,77.65,35.1
13-07-2025,Bihar,Patna,30.74,66.35,29
13-07-2025,Bihar,Purba Champaran,30.98,63.25,10.12
13-07-2025,Bihar,Purnia,28.71,78.1,95.84
13-07-2025,Bihar,Rohtas,30.22,67.95,61.1
13-07-2025,Bihar,Saharsa,29.26,74.35,57.44
13-07-2025,Bihar,Samastipur,29.69,72.2,53.54
13-07-2025,Bihar,Saran,31.31,63.52,25.86
13-07-2025,Bihar,Sheikhpura,29.99,72.2,156.93
13-07-2025,Bihar,Sheohar,30.69,65.95,27.97
13-07-2025,Bihar,Sitamarhi,30.31,65.8,21.29
13-07-2025,Bihar,Siwan,31.41,62.95,30.95
13-07-2025,Bihar,Supaul,28.94,73.92,41.37
13-07-2025,Bihar,Vaishali,30.78,66.45,17.53
13-07-2025,Chandigarh,Chandigarh,30.75,63,9.54
13-07-2025,Chhattisgarh,Bastar,27.04,76.12,37.65
13-07-2025,Chhattisgarh,Bilaspur,28.14,74.53,45.4
13-07-2025,Chhattisgarh,Dantewada,26.91,81.62,34.52
13-07-2025,Chhattisgarh,Dhamtari,29.16,67.97,18.89
13-07-2025,Chhattisgarh,Durg,29.48,65.58,17.29
13-07-2025,Chhattisgarh,Janjgir-Champa,28.71,71,75.14
13-07-2025,Chhattisgarh,Jashpur,22.62,84.65,58.45
13-07-2025,Chhattisgarh,Kanker,27.37,73.78,36.63
13-07-2025,Chhattisgarh,Kawardha,23.35,82.2,36.18
